Hmax_(One),AUW
14550.0,14000.0
14700.0,12500.0
15800.0,13230.0
14000.0,13230.0
16500.0,12500.0
16500.0,12500.0
15000.0,12500.0
12500.0,10000.0
12600.0,9800.0
14000.0,1320.0
13200.0,1320.0
13200.0,1320.0
23218.69549892285,103600.0
29210.904017031204,79600.0
25645.65617264737,89400.0
25820.0,91000.0
27000.0,75000.0
27000.0,73200.0
23440.0,75000.0
24300.0,71300.0
22141.35777940898,73900.0
26000.0,70900.0
23400.0,69700.0
23720.0,35450.0
23400.0,69700.0
23000.0,65500.0
25400.0,64800.0
22927.757881190333,26100.0
27000.0,24650.0
16000.0,36000.0
28000.0,37500.0
21000.0,31000.0
22602.302418025025,27400.0
18800.0,28000.0
21019.895739468568,28000.0
19621.573887499984,27000.0
20600.0,16300.0
21600.0,24800.0
25000.0,25000.0
25000.0,23300.0
26000.0,22700.0
26400.0,10700.0
26114.695594176326,24650.0
23600.0,23500.0
25671.883605252755,23500.0
29000.0,23500.0
29000.0,22850.0
22500.0,20700.0
25000.0,18500.0
25000.0,17500.0
15000.0,1320.0
15000.0,1320.0
15000.0,1320.0
13000.0,2400.0
13500.0,2350.0
9500.0,2150.0
13500.0,2400.0
20000.0,2400.0
14700.0,2600.0
14700.0,2690.0
12500.0,2690.0
12500.0,3140.0
27000.0,3140.0
17747.603161835326,1750.0
38866.370054417246,43750.0
21507.24127504089,41900.0
33527.19359257251,40921.0
16000.0,1400.0
15500.0,1400.0
14000.0,1260.0
23000.0,5500.0
15000.0,6000.0
25000.0,3650.0
25000.0,3400.0
13000.0,2200.0
15000.0,2400.0
20000.0,2500.0
20000.0,2500.0
20000.0,2500.0
20000.0,2300.0
19000.0,2300.0
20000.0,2300.0
18000.0,2300.0
15000.0,2300.0
19000.0,2300.0
18000.0,2100.0
17000.0,2300.0
12000.0,2100.0
25000.0,9300.0
24948.55706977619,15780.0
23200.623765402524,14630.0
22994.487540480382,13890.0
14800.0,11575.0
16900.0,10470.0
18000.0,10470.0
15450.0,11575.0
19800.0,9920.0
18700.0,10800.0
11600.0,10800.0
14800.0,9920.0
12500.0,8930.0
25000.0,3374.0
15150.088114076818,3368.0
25000.0,3368.0
21000.0,3368.0
19300.0,2900.0
24000.0,3680.0
20000.0,3380.0
18500.0,3300.0
25000.0,3100.0
28000.0,2900.0
18600.0,2740.0
24000.0,2900.0
18800.0,2740.0
18800.0,2740.0
21200.0,2575.0
17000.0,2525.0
16500.0,2575.0
19500.0,2575.0
18800.0,2575.0
17200.0,2575.0
18500.0,2450.0
20000.0,2450.0
17200.0,2450.0
13600.0,2500.0
12500.0,1450.0
17300.0,1450.0
19400.0,850.0
21500.0,3315.0
20500.0,3315.0
16600.0,2850.0
15600.0,2750.0
25009.97728612017,10810.0
30000.0,9920.0
28700.0,12050.0
23200.0,11200.0
18200.0,11200.0
14900.0,9474.0
14600.0,9000.0
13750.0,8700.0
12500.0,8700.0
12100.0,7800.0
14300.0,7200.0
13700.0,7000.0
15300.0,6500.0
15200.0,6500.0
15800.0,6500.0
5750.0,6200.0
17000.0,5200.0
18700.0,5200.0
4800.0,5200.0
6400.0,5200.0
18500.0,5200.0
6400.0,5200.0
7500.0,4800.0
17400.0,4750.0
12000.0,4750.0
12000.0,4750.0
13400.0,4570.0
3650.0,4200.0
6600.0,4000.0
12500.0,3925.0
3800.0,3800.0
12600.0,3725.0
7100.0,3600.0
17000.0,3725.0
7100.0,3600.0
19000.0,3725.0
5800.0,3600.0
6600.0,4800.0
5500.0,3800.0
5300.0,3500.0
30000.0,6000.0
30000.0,5092.0
30000.0,5092.0
25000.0,4300.0
25000.0,4340.0
25000.0,4100.0
19500.0,3600.0
19500.0,3200.0
20000.0,3100.0
20000.0,2800.0
18500.0,2550.0
20000.0,3600.0
15588.0,3600.0
20000.0,3600.0
15588.0,3600.0
20000.0,3600.0
17200.0,3600.0
20000.0,3600.0
15400.0,3600.0
20000.0,3600.0
14100.0,3600.0
17100.0,3400.0
16250.0,3400.0
12800.0,3400.0
14500.0,3400.0
17500.0,3000.0
20000.0,2900.0
13550.0,3000.0
12000.0,3000.0
14500.0,2900.0
14500.0,2900.0
20000.0,2900.0
16200.0,2750.0
15000.0,2650.0
16000.0,2600.0
15000.0,2500.0
13236.0,2550.0
14150.0,2450.0
16400.0,2400.0
16400.0,2400.0
15800.0,2200.0
14900.0,2150.0
15000.0,2200.0
14300.0,2150.0
11000.0,2325.0
12700.0,2325.0
10950.0,2150.0
14300.0,2150.0
14300.0,2150.0
15000.0,1950.0
13000.0,1670.0
10626.44540127218,4800.0
12951.7866912502,4400.0
13000.0,3900.0
15800.0,2900.0
14500.0,2900.0
11300.0,2300.0
16500.0,2000.0
16000.0,1950.0
15000.0,1850.0
12000.0,1650.0
15000.0,1950.0
13750.0,1800.0
19000.0,1750.0
17500.0,1760.0
17250.0,1750.0
18500.0,1500.0
15750.0,1500.0
13500.0,1650.0
12500.0,1850.0
12300.0,1750.0
18000.0,1220.0
11500.0,1220.0
25000.0,7255.0
13340.0,7560.0
19850.0,7105.0
19850.0,7105.0
19850.0,7105.0
19850.0,7105.0
19850.0,7105.0
11350.0,6510.0
11350.0,6765.0
11350.0,6510.0
15800.0,6390.0
15800.0,6290.0
15800.0,6140.0
18100.0,5670.0
18100.0,5670.0
18100.0,5670.0
18100.0,5700.0
30200.0,3400.0
27000.0,3600.0
13300.0,2200.0
10950.0,2150.0
15000.0,1320.0
25000.0,7450.0
18000.0,7450.0
25000.0,6825.0
20700.0,6290.0
16000.0,5975.0
25000.0,5400.0
25000.0,5400.0
28000.0,4830.0
11000.0,4830.0
24000.0,3200.0
18800.0,3200.0
27000.0,4318.0
27000.0,4318.0
25000.0,4021.0
18500.0,3000.0
19700.0,3000.0
18500.0,3000.0
11000.0,2450.0
13000.0,2250.0
13000.0,2250.0
14000.0,3000.0
24000.0,23000.0
25000.0,21000.0
23000.0,24000.0
26000.0,20172.0
20500.0,19612.0
20500.0,18650.0
14500.0,3400.0
14900.0,7450.0
13000.0,7450.0
13340.0,6840.0
19850.0,6750.0
11350.0,6350.0
14800.0,6850.0
